Exchange,Ticker
NASDAQ,NVDA
NASDAQ,MSFT
NASDAQ,AAPL
NASDAQ,GOOG
NASDAQ,AMZN
NASDAQ,META
NASDAQ,AVGO
NASDAQ,TSLA
NYSE,BRK.A
NYSE,JPM
NYSE,WMT
NYSE,ORCL
NYSE,LLY
NYSE,V
NASDAQ,NFLX
NYSE,MA
NYSE,XOM
NYSE,JNJ
NASDAQ,PLTR
NYSE,HD
NYSE,BABA
NASDAQ,COST
NYSE,ABBV
NYSE,BAC
NYSE,PG
NYSE,CVX
NYSE,GE
NYSE,UNH
NYSE,KO
NYSE,WFC
NASDAQ,TMUS
NASDAQ,CSCO
NYSE,IBM
NASDAQ,AMD
NYSE,PM
NYSE,MS
NYSE,GS
NYSE,AXP
NYSE,ABT
NYSE,CRM
NASDAQ,APP
NASDAQ,LIN
NYSE,RTX
NYSE,CAT
NYSE,MCD
NYSE,BX
NYSE,UBER
NYSE,DIS
NYSE,T
NYSE,MRK
NYSE,NOW
NASDAQ,INTU
NASDAQ,PEP
NYSE,C
NYSE,BLK
NYSE,VZ
NASDAQ,QCOM
NASDAQ,SHOP
NASDAQ,PDD
NASDAQ,BKNG
NYSE,ANET
NASDAQ,MU
NYSE,TMO
NYSE,SCHW
NASDAQ,TXN
NYSE,BA
NASDAQ,INTC
NYSE,GEV
NASDAQ,AMAT
NASDAQ,LRCX
NYSE,TJX
NASDAQ,ISRG
NYSE,NEE
NASDAQ,ADBE
NYSE,APH
NYSE,ACN
NYSE,SPGI
NASDAQ,ARM
NASDAQ,AMGN
NYSE,BSX
NYSE,SPOT
NYSE,LOW
NYSE,COF
NYSE,PGR
NYSE,ETN
NYSE,SYK
NASDAQ,KLAC
NYSE,UNP
NASDAQ,GILD
NASDAQ,PANW
NYSE,PFE
NYSE,DHR
NASDAQ,HON
NYSE,DE
NASDAQ,MELI
NYSE,COP
NASDAQ,ADI
NYSE,MDT
NASDAQ,CRWD
NYSE,KKR
NASDAQ,ADP
NYSE,CCZ
NASDAQ,CMCSA
NYSE,WELL
NYSE,LMT
NYSE,BN
NASDAQ,IBKR
NASDAQ,DASH
NYSE,CB
NYSE,MO
NYSE,SE
NYSE,PLD
NASDAQ,HOOD
NYSE,SO
NASDAQ,CEG
NYSE,NKE
NASDAQ,VRTX
NYSE,MMC
NYSE,HCA
NASDAQ,CME
NYSE,CVS
NYSE,ICE
NYSE,DUK
NASDAQ,CDNS
NYSE,SCCO
NYSE,PH
NASDAQ,SBUX
NYSE,MCK
NYSE,BAM
NYSE,NEM
NYSE,RBLX
NYSE,TT
NYSE,AMT
NASDAQ,NTES
NASDAQ,SNPS
NASDAQ,ORLY
NYSE,BMY
NYSE,GD
NYSE,RCL
NYSE,WM
NYSE,DELL
NASDAQ,MSTR
NYSE,MCO
NYSE,SHW
NYSE,NOC
NASDAQ,CTAS
NASDAQ,MDLZ
NYSE,MMM
NASDAQ,COIN
NYSE,PNC
NYSE,CVNA
NYSE,APO
NYSE,WMB
NYSE,AJG
NYSE,HWM
NASDAQ,EQIX
NYSE,BK
NYSE,USB
NASDAQ,ABNB
NYSE,ECL
NYSE,AON
NYSE,CRH
NYSE,CI
NYSE,SNOW
NYSE,ITW
NYSE,MSI
NYSE,NU
NYSE,NET
NYSE,TDG
NYSE,EMR
NYSE,ELV
NASDAQ,MAR
NASDAQ,MRVL
NYSE,RSG
NYSE,UPS
NYSE,FI
NYSE,AZO
NYSE,VST
NYSE,JCI
NASDAQ,ADSK
NYSE,EPD
NYSE,GLW
NYSE,NSC
NASDAQ,WDAY
NASDAQ,FTNT
NYSE,CL
NASDAQ,PYPL
NYSE,TEL
NYSE,EOG
NASDAQ,MNST
NYSE,ZTS
NASDAQ,CSX
NYSE,KMI
NYSE,TRV
NYSE,HLT
NYSE,URI
NYSE,SPG
NYSE,MPC
NYSE,ET
NASDAQ,REGN
NYSE,PWR
NYSE,AFL
NYSE,COR
NYSE,APD
NYSE,TFC
NASDAQ,CRWV
NYSE,CPNG
NASDAQ,ALNY
NYSE,DLR
NASDAQ,AEP
NYSE,GM
NYSE,SRE
NYSE,CMI
NASDAQ,NXPI
NYSE,PSX
NYSE,FDX
NYSE,ALL
NASDAQ,FAST
NASDAQ,AXON
NYSE,O
NYSE,LHX
NYSE,VLO
NYSE,MET
NYSE,CMG
NASDAQ,ROP
NYSE,SLB
NYSE,VRT
NYSE,BDX
NASDAQ,PCAR
NYSE,LNG
NYSE,MPLX
NYSE,D
NYSE,FCX
NASDAQ,IDXX
NYSE,PSA
NASDAQ,NDAQ
NYSE,CARR
NYSE,DHI
NASDAQ,BKR
NYSE,FLUT
NASDAQ,ROST
NASDAQ,JD
NASDAQ,DDOG
NASDAQ,EA
NASDAQ,WBD
NYSE,F
NYSE,VEEV
NASDAQ,TTWO
NYSE,AMP
NYSE,CBRE
NASDAQ,XEL
NYSE,OXY
NASDAQ,ZS
NYSE,OKE
NASDAQ,STX
NYSE,GRMN
NYSE,CTVA
NASDAQ,PAYX
NYSE,GWW
NASDAQ,BIDU
NYSE,RDDT
NYSE,XYZ
NYSE,EW
NYSE,FERG
NASDAQ,EXC
NYSE,MSCI
NASDAQ,TEAM
NASDAQ,CPRT
NYSE,KR
NYSE,AIG
NYSE,AME
NASDAQ,FANG
NASDAQ,MPWR
NYSE,YUM
NASDAQ,CHTR
NASDAQ,EBAY
NYSE,CCI
NASDAQ,CCEP
NYSE,ETR
NYSE,PEG
NYSE,RKT
NASDAQ,KMB
NYSE,TGT
NYSE,CCL
NYSE,RMD
NYSE,VMC
NYSE,TKO
NYSE,UI
NYSE,SYY
NYSE,HEI
NYSE,ROK
NYSE,HSY
NYSE,LYV
NYSE,TRGP
NYSE,HIG
NYSE,DAL
NYSE,CCJ
NASDAQ,WDC
NYSE,LVS
NYSE,MLM
NYSE,PRU
NYSE,CAH
NYSE,FICO
NYSE,WEC
NYSE,VG
NYSE,ED
NASDAQ,CSGP
NYSE,OTIS
NYSE,ARES
NYSE,RJF
NYSE,A
NYSE,XYL
NASDAQ,FWONA
NASDAQ,MCHP
NASDAQ,KDP
NYSE,VICI
NASDAQ,VRSK
NYSE,AU
NASDAQ,ACGL
NYSE,EQT
NYSE,WAB
NYSE,FIS
NASDAQ,WTW
NASDAQ,SOFI
NASDAQ,GEHC
NYSE,PCG
NASDAQ,ALAB
NYSE,STT
NASDAQ,CTSH
NYSE,IR
NYSE,NRG
NYSE,LEN
NYSE,VTR
NYSE,DD
NYSE,NUE
NASDAQ,UAL
NYSE,HPE
NYSE,KVUE
NYSE,EFX
NYSE,MTB
NYSE,EL
NYSE,BRO
NASDAQ,KHC
NASDAQ,SYM
NYSE,HUM
NYSE,IQV
NASDAQ,FITB
NASDAQ,TSCO
NYSE,IRM
NYSE,KEYS
NYSE,EXR
NYSE,QSR
NASDAQ,ODFL
NYSE,ADM
NASDAQ,INSM
NYSE,DTE
NYSE,WRB
NYSE,EME
NYSE,FIX
NYSE,ROL
NYSE,AVB
NYSE,SYF
NYSE,BR
NYSE,AEE
NASDAQ,EXPE
NYSE,AWK
NYSE,OWL
NYSE,HUBS
NASDAQ,LPLA
NASDAQ,SMCI
NYSE,PPL
NYSE,K
NYSE,PSTG
NYSE,TDY
NYSE,ATO
NYSE,CRCL
NASDAQ,NBIS
NYSE,VIK
NYSE,GIS
NASDAQ,VRSN
NASDAQ,DXCM
NASDAQ,TW
NYSE,FE
NYSE,CQP
NASDAQ,REG
NYSE,VLTO
NASDAQ,MDB
NYSE,ES
NYSE,PHM
NASDAQ,FOX
NASDAQ,HBAN
NASDAQ,NTRS
NYSE,CNP
NASDAQ,ZM
